0given0	0.1	0.5	0.6	0.9

original	0.6258	0.6463	0.6465	0.6462
05perc_10repeat	0.6092	0.6399	0.6378	0.6414
05perc_2repeat	0.6236	0.64	0.6418	0.6423
05perc_5repeat	0.6283	0.6399	0.6398	0.6416
15perc_10repeat	0.6017	0.6301	0.6312	0.6306
15perc_2repeat	0.6303	0.6315	0.6354	0.6347
15perc_5repeat	0.6151	0.6302	0.6308	0.6324
30perc_10repeat	0.5966	0.6167	0.6142	0.6152
30perc_2repeat	0.6049	0.6245	0.6201	0.6242
30perc_5repeat	0.6053	0.6213	0.6176	0.6175
40perc_10repeat	0.5952	0.6019	0.6057	0.6047
40perc_2repeat	0.5915	0.6142	0.6141	0.6163
40perc_5repeat	0.6064	0.6081	0.6069	0.6082
50perc_10repeat	0.5804	0.5939	0.5926	0.5944
50perc_2repeat	0.5822	0.6089	0.608	0.6073
50perc_5repeat	0.5919	0.5952	0.5981	0.5982
60perc_10repeat	0.5776	0.5808	0.5866	0.5837
60perc_2repeat	0.5669	0.5981	0.5998	0.6011
60perc_5repeat	0.5723	0.5914	0.5869	0.5878
70perc_10repeat	0.5621	0.5751	0.5742	0.5738
70perc_2repeat	0.5766	0.5933	0.5909	0.5935
70perc_5repeat	0.5595	0.5779	0.5786	0.5801
80perc_10repeat	0.5594	0.5609	0.5649	0.5633
80perc_2repeat	0.5715	0.5887	0.5885	0.5848
80perc_5repeat	0.5534	0.5711	0.5687	0.5708
90perc_10repeat	0.5376	0.5517	0.552	0.5529
90perc_2repeat	0.5772	0.576	0.5801	0.5784
90perc_5repeat	0.5486	0.5606	0.5603	0.5592
100perc_10repeat	0.5376	0.5419	0.5457	0.5425
100perc_2repeat	0.5494	0.5675	0.5696	0.5707
100perc_5repeat	0.5475	0.5505	0.5513	0.5526
