SquaredLoss	0.1	0.5	0.6	0.9

original	0.4193	0.3216	0.2942	0.2459
05perc_10repeat	0.4203	0.3143	0.2921	0.2462
05perc_2repeat	0.4277	0.3154	0.2965	0.2456
05perc_5repeat	0.4237	0.3188	0.2915	0.2458
15perc_10repeat	0.4139	0.3201	0.2972	0.2481
15perc_2repeat	0.431	0.3106	0.2999	0.2453
15perc_5repeat	0.4194	0.3182	0.2941	0.2516
30perc_10repeat	0.4091	0.3179	0.2946	0.2549
30perc_2repeat	0.4112	0.3192	0.2849	0.2499
30perc_5repeat	0.4092	0.3208	0.2983	0.251
40perc_10repeat	0.4133	0.311	0.3013	0.2518
40perc_2repeat	0.4145	0.3134	0.2902	0.2543
40perc_5repeat	0.4131	0.3084	0.2951	0.2508
50perc_10repeat	0.3984	0.3051	0.2948	0.2592
50perc_2repeat	0.4041	0.313	0.2975	0.2502
50perc_5repeat	0.4061	0.2983	0.2927	0.2588
60perc_10repeat	0.3952	0.3041	0.3025	0.2615
60perc_2repeat	0.4018	0.314	0.2969	0.2563
60perc_5repeat	0.4065	0.3133	0.2938	0.2557
70perc_10repeat	0.3844	0.3108	0.2989	0.2712
70perc_2repeat	0.3991	0.3111	0.2929	0.2608
70perc_5repeat	0.3861	0.3056	0.2931	0.2676
80perc_10repeat	0.388	0.3071	0.3017	0.2789
80perc_2repeat	0.4	0.3219	0.3072	0.2624
80perc_5repeat	0.3869	0.3069	0.2963	0.2738
90perc_10repeat	0.3747	0.3069	0.2982	0.2813
90perc_2repeat	0.3917	0.3032	0.3039	0.2667
90perc_5repeat	0.3832	0.3004	0.3017	0.2698
100perc_10repeat	0.3659	0.3052	0.3102	0.2908
100perc_2repeat	0.3867	0.3057	0.2968	0.274
100perc_5repeat	0.3813	0.3052	0.2988	0.2864
